iter	F1	Logloss
0	0.7906079125	0.6282574923
1	0.7950575202	0.5789174115
2	0.8072260518	0.5399432591
3	0.8081535721	0.5101557762
4	0.8075749276	0.4878751054
5	0.8079812207	0.4697704211
6	0.810995484	0.4558136428
7	0.8120159587	0.4455043473
8	0.8131325018	0.435635031
9	0.8143584883	0.4272953919
10	0.816469938	0.4182636456
11	0.817009191	0.411515735
12	0.8184712124	0.406371484
13	0.818020993	0.4026462526
14	0.8183105238	0.39808544
15	0.8173871958	0.3961148619
16	0.8196811435	0.3936827487
17	0.8205168486	0.3904926793
18	0.8200843416	0.3880384828
19	0.8210176729	0.3862633994
20	0.8202256054	0.3843736963
21	0.8214342126	0.3826911036
22	0.8208754741	0.3813287856
23	0.821407381	0.3800398473
24	0.8219830838	0.3784464092
25	0.8223530807	0.3773470006
26	0.8226265823	0.3763543382
27	0.8226037196	0.3755734749
28	0.8224343675	0.3743839096
29	0.8224863833	0.3734650313
30	0.8230003979	0.3722683216
31	0.8230194082	0.3715308957
32	0.8235387864	0.3709282104
33	0.8230787647	0.3699571787
34	0.823219629	0.3689388702
35	0.8239141706	0.3684427528
36	0.8240035112	0.3677868113
37	0.8238905945	0.3673216546
38	0.8240363898	0.3668794459
39	0.8240415335	0.365970473
40	0.8246797302	0.3657229486
41	0.8247365059	0.3650290346
42	0.8245116446	0.3644241616
43	0.824727447	0.3639447421
44	0.8248592084	0.3629925401
45	0.8251078103	0.3624442336
46	0.8259845976	0.3617446933
47	0.8264291136	0.3613869532
48	0.8261304122	0.3607821142
49	0.8271812081	0.3601040207
50	0.8271812081	0.3601038897
51	0.8271812081	0.3599638391
52	0.8268915624	0.3594088264
53	0.8272967138	0.3588063609
54	0.8273959458	0.3584218627
55	0.8281075028	0.3576299721
56	0.8280081577	0.3570444062
57	0.828612578	0.3558016236
58	0.8290533232	0.3553963204
59	0.8288302734	0.3547359992
60	0.8288302734	0.3547330988
61	0.829285886	0.3542359616
62	0.8305064357	0.3529591967
63	0.8306063523	0.3524066484
64	0.8308655351	0.3515353571
65	0.831006259	0.351471881
66	0.8311396469	0.3512324708
67	0.8315138867	0.3504705504
68	0.8318477475	0.3500141531
69	0.8318143494	0.349908961
70	0.8317475611	0.3498125275
71	0.8320481928	0.3489451196
72	0.8320411361	0.3488057395
73	0.8318598296	0.348633059
74	0.8325428089	0.3477647846
75	0.8328509407	0.3473574762
76	0.8328509407	0.3473408124
77	0.8328509407	0.3473268566
78	0.8333065424	0.3470582054
79	0.8333065424	0.3470478802
80	0.8331993569	0.3468361593
81	0.8335208099	0.3463229288
82	0.8340634168	0.3454839528
83	0.8342039701	0.3454707508
84	0.8341704504	0.3454596237
85	0.8349335154	0.345069086
86	0.835287504	0.3447313409
87	0.8351807229	0.3446654502
88	0.8353820198	0.3442714849
89	0.8354827046	0.3441349697
90	0.8354827046	0.3441272628
91	0.8354827046	0.3441118144
92	0.8364191333	0.3436496662
93	0.8365929079	0.3435140751
94	0.8363680212	0.343147017
95	0.8362613065	0.3431149999
96	0.8368896926	0.342982153
97	0.8370635271	0.3429736689
98	0.8373382625	0.3427054503
99	0.8373719108	0.3427039656
