iter	Passed	Remaining
0	70	6947
1	88	4323
2	107	3473
3	128	3085
4	146	2777
5	160	2512
6	177	2359
7	196	2257
8	218	2208
9	237	2135
10	254	2062
11	271	1993
12	296	1982
13	315	1935
14	342	1941
15	362	1901
16	383	1870
17	404	1844
18	423	1807
19	441	1766
20	464	1747
21	483	1715
22	497	1664
23	514	1630
24	532	1596
25	548	1562
26	564	1525
27	580	1493
28	603	1476
29	623	1453
30	638	1421
31	656	1394
32	668	1357
33	684	1329
34	701	1302
35	718	1277
36	735	1251
37	750	1224
38	767	1200
39	784	1176
40	799	1150
41	816	1128
42	832	1103
43	850	1082
44	869	1062
45	885	1039
46	901	1016
47	918	994
48	936	975
49	954	954
50	971	932
51	980	905
52	998	885
53	1016	865
54	1032	844
55	1050	825
56	1069	807
57	1087	787
58	1103	766
59	1119	746
60	1135	726
61	1153	706
62	1170	687
63	1190	669
64	1208	650
65	1224	630
66	1241	611
67	1258	592
68	1275	572
69	1292	553
70	1308	534
71	1324	514
72	1339	495
73	1354	476
74	1370	456
75	1386	437
76	1403	419
77	1419	400
78	1434	381
79	1450	362
80	1466	343
81	1481	325
82	1498	306
83	1514	288
84	1535	270
85	1551	252
86	1568	234
87	1584	216
88	1600	197
89	1616	179
90	1632	161
91	1648	143
92	1664	125
93	1681	107
94	1696	89
95	1714	71
96	1729	53
97	1745	35
98	1761	17
99	1777	0
